Dataset,length_of_shapelet (ls),number_of_shapelets (ns),lambda_fused_lasso (lf),lambda_prototypes (lp),train_accuracy,test_accuracy
Adiac ,28,106,2.23E-06,3.65E-03,0.849,0.774
ArrowHead ,65,21,5.80E-06,3.21E-03,1.000,0.918
Beef ,164,45,7.25E-02,2.13E-04,0.883,0.750
BeetleFly ,169,84,2.24E-06,4.10E-03,1.000,0.900
BirdChicken ,88,15,7.90E-08,6.95E-05,1.000,0.950
Car ,163,46,1.26E-08,7.30E-02,0.950,0.917
CBF ,49,86,7.75E-04,1.16E-06,0.967,0.933
ChlorineConcentration ,47,85,4.32E-05,7.01E-04,0.914,0.848
CinCECGtorso ,619,47,1.63E-08,1.59E-06,0.963,0.838
Coffee ,47,19,1.01E-07,2.19E-01,1.000,1.000
Computers ,124,50,6.91E-07,1.39E-06,0.878,0.844
CricketX ,98,88,1.11E-08,2.30E-03,0.912,0.847
CricketY,106,109,2.13E-07,1.00E-08,0.879,0.792
CricketZ ,109,104,5.49E-07,1.08E-08,0.903,0.842
DiatomSizeReduction ,91,15,5.45E-07,6.94E-05,1.000,1.000
DistalPhalanxOutlineAgeGroup ,12,121,1.50E-05,1.90E-08,0.896,0.843
DistalPhalanxOutlineCorrect ,24,120,2.56E-07,1.19E-08,0.868,0.864
DistalPhalanxTW ,14,113,3.09E-06,2.18E-08,0.923,0.830
Earthquakes ,187,121,1.40E-06,2.88E-08,0.935,0.929
ECG200 ,38,27,1.29E-05,5.72E-06,0.970,0.950
ECG5000 ,55,51,6.22E-06,2.55E-03,0.986,0.970
ECGFiveDays ,49,91,1.68E-05,1.18E-06,1.000,1.000
ElectricDevices,18,92,5.67E-04,6.78E-03,0.771,0.732
FaceAll,52,87,2.63E-05,1.09E-06,0.969,0.950
FaceFour,138,121,1.19E-08,1.03E-02,1.000,0.976
FacesUCR ,37,76,5.90E-08,5.26E-03,0.995,0.970
FiftyWords ,102,94,8.03E-05,3.15E-08,0.911,0.841
Fish ,167,81,8.25E-06,4.01E-06,0.946,0.949
FordA,189,36,1.51E-07,7.00E-07,0.964,0.952
FordB,137,114,1.24E-05,9.43E-08,0.974,0.957
GunPoint,48,98,1.17E-04,3.29E-05,1.000,0.980
Ham,161,49,1.08E-04,1.20E-01,0.891,0.868
HandOutlines,373,108,1.77E-06,2.11E-04,0.943,0.925
Haptics,92,95,4.24E-04,4.76E-07,0.819,0.655
Herring,153,121,9.45E-07,1.06E-02,0.860,0.831
InlineSkate,559,62,5.10E-05,1.24E-01,0.530,0.630
InsectWingbeatSound,74,68,3.56E-08,6.96E-02,0.745,0.632
ItalyPowerDemand,7,35,3.88E-03,8.51E-01,0.985,0.978
LargeKitchenAppliances,47,89,5.29E-08,1.27E-04,0.973,0.947
Lightning2,125,20,5.55E-03,1.61E-05,0.950,0.883
Lightning7,102,101,9.60E-05,1.32E-05,1.000,0.936
Mallat,273,82,1.17E-08,6.30E-05,1.000,0.955
Meat,140,96,1.66E-05,1.76E-05,1.000,1.000
MedicalImages,15,107,3.42E-04,5.23E-04,0.898,0.734
MiddlePhalanxOutlineAgeGroup,31,114,1.75E-04,2.43E-01,0.818,0.795
MiddlePhalanxOutlineCorrect,30,105,4.89E-02,3.76E-02,0.851,0.843
MiddlePhalanxTW,19,115,3.86E-04,3.44E-02,0.719,0.735
MoteStrain,27,26,9.07E-07,2.18E-06,1.000,0.950
